,Bar Name,Url,Area,Address,Cuisine,Number of Reviews,Rating,Telephone,Website
13,Shanghai Beer Factory,https://www.tripadvisor.com/Restaurant_Review-g308272-d6611893-Reviews-Shanghai_Beer_Factory-Shanghai.html,Shanghai Stadium1.5 miles from Riverside Promenade (Bingjiang Da Dao),"CAO XI BEI ROAD 1111, Shanghai Indoor Stadium, Xuhui District, Shanghai China","Bar, Pub",42,4.0,+86 21 3356 5005,NaN
14,The Park Tavern,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449742-Reviews-The_Park_Tavern-Shanghai.html,Hengshan Lu (Hengshan Road),"HengShanLu 840Hao, Shanghai China","Bar, Pub, British",36,4.0,+86 21 5465 9312,NaN
15,Sofitel 505 Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d2461268-Reviews-Sofitel_505_Bar-Shanghai.html,People’s Square0.7 miles from The Bund (Wai Tan),"505 Nanjing East Road, Shanghai 200001 China","Bar, Pub",41,4.0,+86 21 6351 5888,http://www.sofitel.com/gb/hotel-1603-sofitel-shanghai-hyland/index.shtml#./bar.shtm
16,MoMo to Go (Courtyard Shanghai Xujiahui),https://www.tripadvisor.com/Restaurant_Review-g308272-d7220905-Reviews-MoMo_to_Go_Courtyard_Shanghai_Xujiahui-Shanghai.html,Gubei / Hongqiao / Minhang1.9 miles from Riverside Promenade (Bingjiang Da Dao),"1/F, Courtyard Shanghai Xujiahui, No.100 HongQiao Road, Xuhui District, Shanghai 200030 China",Bar,18,4.0,+86 21 6129 2933,NaN
17,Magpie cocktail bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d4829594-Reviews-Magpie_cocktail_bar-Shanghai.html,Former French Concession,"189 Yongkang lu, Shanghai China","Bar, Pub",13,5.0,+86 21 6472 5985,http://www.weibo.com/jackyba
18,Lai Lai XiaoChi,https://www.tripadvisor.com/Restaurant_Review-g308272-d3391179-Reviews-Lai_Lai_XiaoChi-Shanghai.html,People’s Square,"TianJin Road 506, Shanghai China",Pub,10,4.5,+86 21 6352 0230,NaN
19,Vale Cuisine,https://www.tripadvisor.com/Restaurant_Review-g308272-d7808256-Reviews-Vale_Cuisine-Shanghai.html,,"No.3-15 Jing'an Kerry Center North Section, No.1515 Nanjing West Road, Jing'an District, Shanghai China",NaN,11,4.5,+86 21 6067 3177,NaN
20,The Beer Lady (Suzhou Creek),https://www.tripadvisor.com/Restaurant_Review-g308272-d14004168-Reviews-The_Beer_Lady_Suzhou_Creek-Shanghai.html,Huangpu,"1247 Suzhou South Road Near Xinchang Road, Shanghai China","Bar, Cafe, Pub, Wine Bar, Chinese",14,4.0,+865386 3393,NaN
21,ShangHai hoF(Si South Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d1750446-Reviews-ShangHai_hoF_Si_South_Road-Shanghai.html,Luwan,"30 Sinan Lu Near Huaihai Zhong Lu, Shanghai China","Cafe, Bar",24,4.0,+86 21 6093 2058,NaN
22,El Santo Tacos&amp;Tequila,https://www.tripadvisor.com/Restaurant_Review-g308272-d12478376-Reviews-El_Santo_Tacos_Tequila-Shanghai.html,Luwan,"Shop 5137 No.158 Julu Road, Shanghai China","Mexican, Bar, Pub",23,4.0,+86 21 6333 2181,http://www.el-luchador-china.co
23,Dining Plus,https://www.tripadvisor.com/Restaurant_Review-g308272-d8027932-Reviews-Dining_Plus-Shanghai.html,,"No.166 Sichuan Middle Road, Shanghai 200002 China","American, Brew Pub, Bar, Pub",15,4.0,+86 21 6373 1789,NaN
24,OBAMA Club,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449814-Reviews-OBAMA_Club-Shanghai.html,Changning,"YanAn XiLu 2088Hao HongQiao Jia Dun GuangChang 1Lou, Shanghai China",NaN,13,4.0,NaN,NaN
25,C's PUB,https://www.tripadvisor.com/Restaurant_Review-g308272-d3450193-Reviews-C_s_PUB-Shanghai.html,Changning,"Ding Xi Road 685 b1 Floor, Shanghai China","Bar, Pub",7,4.5,+86 21 6294 0547,NaN
26,The Blarney Stone Irish Pub Yong Kang Road,https://www.tripadvisor.com/Restaurant_Review-g308272-d4500480-Reviews-The_Blarney_Stone_Irish_Pub_Yong_Kang_Road-Shanghai.html,Former French Concession,"77 Yong Kang Rd, Shanghai 200020 China","Bar, Pub, Irish",36,3.5,+86 21 6422 6605,http://www.shanghaiblarney.co
27,LOFT by Globus Wine (Jian'guo West Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d3391391-Reviews-LOFT_by_Globus_Wine_Jian_guo_West_Road-Shanghai.html,Former French Concession,"Room 5101-5103 LOFT, No.283 Jian'guo West Road cross Jiashan Road, Shanghai China","Bar, Pub, Wine Bar",10,4.5,+86 21 5466 1575,http://www.globus-wine.co
28,MuTou JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d2437869-Reviews-MuTou_JiuBa-Shanghai.html,Xintiandi,"15 Xintiandi North Block, 181 Tai Cang Road, Shanghai China","Bar, Pub",8,4.5,+86 21 6311 0368,NaN
29,RuiKu,https://www.tripadvisor.com/Restaurant_Review-g308272-d12971565-Reviews-RuiKu-Shanghai.html,Xiaodongmen0.9 miles from Nanjing Lu (Nanjing Road),"No.538 Zhongshan East 2nd Road 21/F, Wanda Reign on the Bund, Shanghai 200010 China","Seafood, Contemporary, Pub, Diner, Gastropub, Soups",7,4.0,+86 21 5368 8882,NaN
30,Hit Wicket Bar &amp; Cafe (Mengu Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d19117069-Reviews-Hit_Wicket_Bar_Cafe_Mengu_Road-Shanghai.html,Jing'an,"125 Mengu Road, Shanghai China","Mexican, Bar, Cafe, Spanish, Pub",3,5.0,+86 131 2290 9034,NaN
31,Zpark Bar (Renaissance Shanghai Zhongshan Park Hotel),https://www.tripadvisor.com/Restaurant_Review-g308272-d7224503-Reviews-Zpark_Bar_Renaissance_Shanghai_Zhongshan_Park_Hotel-Shanghai.html,,"25/F, Renaissance Shanghai Zhongshan Park Hotel,  No.1018 Changning Road, Changning District, Shanghai 200042 China","Bar, Pub",7,4.5,+86 21 6115 8810,NaN
32,Xu LiuShan ZhengDa Plaza,https://www.tripadvisor.com/Restaurant_Review-g308272-d3656042-Reviews-Xu_LiuShan_ZhengDa_Plaza-Shanghai.html,Pudong0.6 miles from The Bund (Wai Tan),"B2F, Zhengda Square, No.168 Lujiazui West Road, Shanghai 200120 China","Bar, Pub",15,4.0,+86 21 5047 1977,NaN
33,The Office,https://www.tripadvisor.com/Restaurant_Review-g308272-d4503756-Reviews-The_Office-Shanghai.html,Pudong1.9 miles from Oriental Pearl Tower (Dongfang Mingzhu),"PuDong DaDao 968Hao, Shanghai China","Bar, Pub",14,4.0,+86 21 5028 0029,NaN
34,Cin Cin Wine &amp; Cigar Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d4582768-Reviews-Cin_Cin_Wine_Cigar_Lounge-Shanghai.html,Fuzhou Lu (Fuzhou Road)0.1 miles from The Bund (Wai Tan),"Floor 2 No 20 Nan Jing East Road At Fairmont Peace Hotel, Shanghai 200001 China","Bar, Pub",8,4.5,+86 21 6321 6888,http://www.fairmont.com/peace-hotel-shanghai/dining/cincin
35,MoMo To Go (Courtyard Shanghai Jiading),https://www.tripadvisor.com/Restaurant_Review-g308272-d7220894-Reviews-MoMo_To_Go_Courtyard_Shanghai_Jiading-Shanghai.html,Jiadingzhen,"1/F, Courtyard Shanghai Jiading, No.3101 Huyi Highway, Jiading District, Shanghai 201821 China","Bar, Pub",6,4.0,+86 21 3991 6499,NaN
36,Wine Connection Bar&amp;Bistro,https://www.tripadvisor.com/Restaurant_Review-g308272-d4064914-Reviews-Wine_Connection_Bar_Bistro-Shanghai.html,Jing'an,"439 Yuyuan Lu, Shanghai China",Wine Bar,13,4.0,+86 21 6236 0579,http://www.wineconnection.c
37,Lan Bao PiJiuWu DeGuo Restaurant,https://www.tripadvisor.com/Restaurant_Review-g308272-d1811443-Reviews-Lan_Bao_PiJiuWu_DeGuo_Restaurant-Shanghai.html,Pudong1.2 miles from Oriental Pearl Tower (Dongfang Mingzhu),"#118, Shanghai One, 1138 South Pudong, Shanghai China","Bar, Pub",8,4.5,+86 21 5878 7979,NaN
38,Blue Frog (Changtai Plaza),https://www.tripadvisor.com/Restaurant_Review-g308272-d8711607-Reviews-Blue_Frog_Changtai_Plaza-Shanghai.html,,"Shop 1E27, Tower 1, Changtai Plaza, Lane 1239 Zuchongzhi Road, Pudong New Area, Shanghai 200120 China","Chinese, American, Steakhouse, Pub, Diner",5,4.0,+86 21 5080 1320,http://www.bluefrog.com.cn
39,Malt Fun,https://www.tripadvisor.com/Restaurant_Review-g308272-d3196810-Reviews-Malt_Fun-Shanghai.html,Former French Concession,"No.123 Hunan Road, Shanghai 200030 China",Wine Bar,7,4.5,+86 21 6212 8728,NaN
40,LaiKe JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d3465322-Reviews-LaiKe_JiuBa-Shanghai.html,Pudong,"YunShan Road 1419, Shanghai 200120 China","Bar, Pub",3,5.0,+86 21 5076 0436,NaN
41,PAPAYA BAR(FuMin Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d7338718-Reviews-PAPAYA_BAR_FuMin_Road-Shanghai.html,Former French Concession,"Room 2S, No.185 Fumin Road, Jing'an District, Shanghai China","Bar, Pub",3,4.5,+86 21 5466 8679,NaN
42,Guinness(DaMuZhi Plaza),https://www.tripadvisor.com/Restaurant_Review-g308272-d3390512-Reviews-Guinness_DaMuZhi_Plaza-Shanghai.html,Century Park,"FangDian Road 199 Lane, ZhengDa DaMuZhi Plaza, Shanghai China","Bar, Pub",7,3.5,NaN,NaN
43,Windows Garage,https://www.tripadvisor.com/Restaurant_Review-g308272-d12715294-Reviews-Windows_Garage-Shanghai.html,,"No.702, Nanjing West Road, Jing'An Distrcit Metro West Nanjing, Line 2, Exit 3 Or Line 13 Exit 11, Shanghai 200000 China","Chinese, American, African, European, Asian",3,4.5,+86 21 6218 1360,http://www.windowsbars.com/garage/MenuList.asp
44,The Parrot,https://www.tripadvisor.com/Restaurant_Review-g308272-d12068840-Reviews-The_Parrot-Shanghai.html,,"No.7 Donghu Road, Shanghai China",NaN,4,4.0,+86 21 5466 0026,NaN
45,PiaoYi JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4957448-Reviews-PiaoYi_JiuBa-Shanghai.html,Jing'an,"No.488 Dagu Road, Jing'an District, Shanghai 200041 China",Bar,7,4.0,+86 21 6340 0971,NaN
46,DaiShu JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449314-Reviews-DaiShu_JiuBa-Shanghai.html,Luwan,"YongJia Lu 33Hao, Shanghai China","Bar, Pub",2,4.5,+86 21 5466 6066,NaN
47,Whisky Corner,https://www.tripadvisor.com/Restaurant_Review-g308272-d10283008-Reviews-Whisky_Corner-Shanghai.html,,"No.390 Panyu Road, Changning District, Shanghai China",NaN,2,5.0,+86 137 9528 7559,NaN
48,The Lounge (Renaissance Shanghai Caohejing Hotel),https://www.tripadvisor.com/Restaurant_Review-g308272-d7224389-Reviews-The_Lounge_Renaissance_Shanghai_Caohejing_Hotel-Shanghai.html,,"1/F, Renaissance Shanghai Caohejing Hotel, No.397 Tianlin Road, Caohejing Hi-Tech Park, Shanghai China","Bar, Pub",2,5.0,+86 21 3325 8377,NaN
49,Walkers,https://www.tripadvisor.com/Restaurant_Review-g308272-d4470428-Reviews-Walkers-Shanghai.html,Luwan,"Taikang Rd. Number 12 Lane 248, Shanghai China","Bar, Pub",4,4.5,+86 21 6445 5618,NaN
50,XUAN Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d10535534-Reviews-XUAN_Bar-Shanghai.html,,"1/F, Andaz Xintiandi, 88 Songshan Road, Shanghai China",NaN,5,4.0,+86 21 2310 1234,NaN
51,POCHO,https://www.tripadvisor.com/Restaurant_Review-g308272-d10531150-Reviews-POCHO-Shanghai.html,,"NO. 376 Jiànguó West Rd, Shanghai China",NaN,3,4.0,+86 21 5419 8727,http://www.shanghaipocho.co
52,Roof Top Bar (Shanghai Marriott Hotel Luwan),https://www.tripadvisor.com/Restaurant_Review-g308272-d7227462-Reviews-Roof_Top_Bar_Shanghai_Marriott_Hotel_Luwan-Shanghai.html,,"28/F, Shanghai Marriott Hotel Luwan, No.99 Jiangbin Road, Huangpu District, Shanghai 200023 China","Bar, Pub",2,4.5,+86 21 5318 8888,NaN
53,Space Plus Shanghai,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449751-Reviews-Space_Plus_Shanghai-Shanghai.html,Changning,"Hu Qing Ping GongLu 220Hao, Shanghai China","Bar, Pub",1,5.0,NaN,NaN
54,Storytavern,https://www.tripadvisor.com/Restaurant_Review-g308272-d17558561-Reviews-Storytavern-Shanghai.html,,"No.66, Xianfeng Street 7/F, Room 7107, Shanghai China","Bar, Pub",1,5.0,NaN,NaN
55,Breeze Lobby Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d17321960-Reviews-Breeze_Lobby_Lounge-Shanghai.html,,"No. 1 South Island, Harbour City Pudong, Luchaogang Crowne Plaza Shanghai Harbour City, Shanghai 201306 China",NaN,1,5.0,+86 21 2033 9999,http://www.ihg.com/crowneplaza/hotels/gb/en/shanghai/shgwr/hoteldetai
56,YanYu JiangNan ChaYi JiuBa (QuYang Park),https://www.tripadvisor.com/Restaurant_Review-g308272-d3465953-Reviews-YanYu_JiangNan_ChaYi_JiuBa_QuYang_Park-Shanghai.html,Hongkou,"DongTiYuHui Road 980, QuYang Park, Shanghai China","Bar, Pub",3,4.0,+86 21 6542 4017,NaN
57,Puff26,https://www.tripadvisor.com/Restaurant_Review-g308272-d14985988-Reviews-Puff26-Shanghai.html,,"205 Wu Song Road, Hong Kou District 26 Floor, Heng Sheng Penisula International Center Building, Shanghai China","African, Pub",1,5.0,+86 135 6416 5721,NaN
58,The Factory,https://www.tripadvisor.com/Restaurant_Review-g308272-d11997041-Reviews-The_Factory-Shanghai.html,,"UnitedValley, No.462 Changle Road, Shanghai 200040 China",NaN,2,4.0,+86 21 6029 3973,NaN
59,Jazz Bar FuXing XiLu,https://www.tripadvisor.com/Restaurant_Review-g308272-d4448375-Reviews-Jazz_Bar_FuXing_XiLu-Shanghai.html,Former French Concession,"FuXing XiLu 46Hao, Shanghai China","Bar, Pub",3,3.5,+86 21 6431 0269,NaN
60,ChuanZhang No.2,https://www.tripadvisor.com/Restaurant_Review-g308272-d3390984-Reviews-ChuanZhang_No_2-Shanghai.html,People’s Square,"YanAn East Road, WaiTan Chuan Zhang YouLun MaTou, Shanghai China","Bar, Pub",1,5.0,+86 21 6355 2722,NaN
61,The Hideout,https://www.tripadvisor.com/Restaurant_Review-g308272-d8817312-Reviews-The_Hideout-Shanghai.html,,"No.577 Fuxing Middle Road, Luwan District, Shanghai China","Bar, Pub",1,5.0,NaN,NaN
62,Bao LaiNa Restaurant,https://www.tripadvisor.com/Restaurant_Review-g308272-d4864749-Reviews-Bao_LaiNa_Restaurant-Shanghai.html,Former French Concession,"XuHui District FenYang Road 150, Shanghai China","Bar, Pub",1,4.0,+86 21 6474 5700,NaN
63,Lao Di Fang,https://www.tripadvisor.com/Restaurant_Review-g308272-d3450298-Reviews-Lao_Di_Fang-Shanghai.html,Xintiandi,"TaiCang Road 181, XinTianDiBeiLi Nei, Shanghai China","Bar, Pub",1,5.0,+86 21 6336 5383,NaN
64,Kiitos,https://www.tripadvisor.com/Restaurant_Review-g308272-d3391595-Reviews-Kiitos-Shanghai.html,Former French Concession,"YongFu Road 127, Shanghai China","Bar, Pub",1,5.0,+86 21 6431 3787,NaN
65,Lobby Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d14086743-Reviews-Lobby_Lounge-Shanghai.html,,"No.718 Ningxia Road, Putuo District 7/F, Hyatt Regency Shanghai Global Harbor, Shanghai 200063 China",NaN,1,4.0,+86 21 6215 1234,https://shanghaiglobalharbor.regency.hyatt.com/en/hotel/dining/lobby-lounge.htm
66,The Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d8754853-Reviews-The_Lounge-Shanghai.html,,"No.2099 Yan'an West Road, Changning District, Shanghai 200336 China","Bar, Pub",1,4.0,+86 21 6275 0000,http://renaissanceshanghai.co
67,Andaz Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d10542649-Reviews-Andaz_Lounge-Shanghai.html,,"1/F, Andaz, No.88 Songshan Road, Luwan District, Shanghai China",NaN,3,3.5,+86 21 2310 1710,NaN
68,MiLuo JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d2442349-Reviews-MiLuo_JiuBa-Shanghai.html,Changning,"1999 HaMi Road, Shanghai China",Bar,1,5.0,+86 21 6269 1977,NaN
69,Harley's Underground,https://www.tripadvisor.com/Restaurant_Review-g308272-d3450546-Reviews-Harley_s_Underground-Shanghai.html,Xuhui1.6 miles from Riverside Promenade (Bingjiang Da Dao),"NanDan East Road 265 B1, Shanghai China","Bar, Pub",2,3.5,+86 21 5424 7317,http://www.facebook.com/harleysbar265
70,DR,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449836-Reviews-DR-Shanghai.html,Xintiandi,"TaiCang Lu 181 Nong XinTianDi BeiLi 15Hao Lou, Shanghai China","Bar, Pub",1,4.0,+86 21 6311 0358,NaN
71,Lan QiangYu (DaMuZhi Plaza),https://www.tripadvisor.com/Restaurant_Review-g308272-d4704244-Reviews-Lan_QiangYu_DaMuZhi_Plaza-Shanghai.html,Century Park,"PuDongXinQu Fang Dian Lu 199 Nong DaMuZhi GuangChang 17Hao, Shanghai China","Bar, Pub",2,3.5,NaN,NaN
72,Adam's Lounge,https://www.tripadvisor.com/Restaurant_Review-g308272-d4297202-Reviews-Adam_s_Lounge-Shanghai.html,,"448-5 Xinhua Lu Intersection with Dingxi Lu, Shanghai 200050 China",Wine Bar,1,4.0,+86 156 5280 3334,NaN
73,1930 JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4935122-Reviews-1930_JiuBa-Shanghai.html,Xintiandi,"LuWan District TaiCang Road 181 Nong, XinTianDi BeiLi Plaza 23-03, Shanghai China","Bar, Pub",1,4.0,+86 21 8621 6387,NaN
74,Project wine,https://www.tripadvisor.com/Restaurant_Review-g308272-d7183863-Reviews-Project_wine-Shanghai.html,,"No.17 Xiangyang North Road, Jing'an District, Shanghai 20000 China","Bar, Pub",3,3.0,+86 21 5497 9519,NaN
75,Eddy''s Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d3391701-Reviews-Eddy_s_Bar-Shanghai.html,Former French Concession,"HuaiHai Middle Road 1877, Shanghai China","Bar, Pub",9,3.0,+86 21 6282 0521,NaN
76,SoHo Pub,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449737-Reviews-SoHo_Pub-Shanghai.html,Former French Concession,"JuLuLu 903Hao, Shanghai China","Bar, Pub",3,2.5,NaN,NaN
77,Banana,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449819-Reviews-Banana-Shanghai.html,Wujiaochang,"GuoDing Lu 485 Nong, Shanghai China","Bar, Pub",2,2.5,+86 21 6565 5028,NaN
78,ATa Nu JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4936386-Reviews-ATa_Nu_JiuBa-Shanghai.html,Huangpu0.6 miles from The Bund (Wai Tan),"WaiTan Zhong ShanDong 2nd Road 1 A, Shanghai China","Bar, Pub",1,1.0,+86 21 6350 7649,NaN
79,Windows Scoreboard,https://www.tripadvisor.com/Restaurant_Review-g308272-d3782428-Reviews-Windows_Scoreboard-Shanghai.html,Luwan,"11F Jinjiang Shopping Mall, No.527 Huaihai Middle Road, Luwan District Lane 527 Huaihai Road, Shanghai 2000000 China","Bar, Pub",14,3.0,+86 21 5382 77757,NaN
80,Dan XingDao JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4936757-Reviews-Dan_XingDao_JiuBa-Shanghai.html,Jiading,"JiaDing District BaoAn Main Road 3705, Shanghai China","Bar, Pub",0,NaN,+86 136 7166 8779,NaN
81,YanYu JiangNan ChaYi JiuBa (Xing You Cheng),https://www.tripadvisor.com/Restaurant_Review-g308272-d3391632-Reviews-YanYu_JiangNan_ChaYi_JiuBa_Xing_You_Cheng-Shanghai.html,Xuhui1.3 miles from Riverside Promenade (Bingjiang Da Dao),"TianYaoQiao Road 580, XingYouCheng 3 Floor, Shanghai China","Bar, Pub",0,NaN,+86 21 6161 9750,NaN
82,TaiHong Jiu,https://www.tripadvisor.com/Restaurant_Review-g308272-d3391284-Reviews-TaiHong_Jiu-Shanghai.html,Luwan,"TaiKang Road 248 Lane TianZiFang 38, Shanghai China","Bar, Pub",0,NaN,+86 21 6473 3001,NaN
83,AiErLan JiuBa (Xiang Cheng Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d3390636-Reviews-AiErLan_JiuBa_Xiang_Cheng_Road-Shanghai.html,Pudong2.1 miles from Oriental Pearl Tower (Dongfang Mingzhu),"DongFang Road 899, PuDong Holiday Hotel, Shanghai China","Bar, Pub",0,NaN,+86 21 5830 6666,NaN
84,1986Zheng Chen XiCan JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4933244-Reviews-1986Zheng_Chen_XiCan_JiuBa-Shanghai.html,Changning,"MinXing District HongMei Road 3717 Nong 8, Shanghai China","Bar, Pub",0,NaN,+86 21 5437 7662,NaN
85,WaiTan YiHao,https://www.tripadvisor.com/Restaurant_Review-g308272-d5237831-Reviews-WaiTan_YiHao-Shanghai.html,,"Qian Chen Business Building, Shanghai China","Bar, Pub",0,NaN,+86 21 6330 8118,NaN
86,In cafe cocktail,https://www.tripadvisor.com/Restaurant_Review-g308272-d7186539-Reviews-In_cafe_cocktail-Shanghai.html,,"No.4 Lane 131 Xiangyang North Road, Xuhui District, Shanghai 200031 China","Bar, Pub",0,NaN,+86 21 5459 1885,NaN
87,Nan ShiZiXing,https://www.tripadvisor.com/Restaurant_Review-g308272-d7181530-Reviews-Nan_ShiZiXing-Shanghai.html,,"No.1276 Huaihai Middle Road, Xuhui District, Shanghai China","Bar, Pub",0,NaN,+86 21 5404 7211,NaN
88,Li Tai Yuan JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4503413-Reviews-Li_Tai_Yuan_JiuBa-Shanghai.html,,"Jiu Ting Zhen Hu Ting BeiLu 350 Nong Bei Shang Wan ShangYeJie 2Lou, Shanghai China","Bar, Pub",0,NaN,+86 21 6782 3633,NaN
89,Xun Qian JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4446827-Reviews-Xun_Qian_JiuBa-Shanghai.html,Minhang,"Long Ming Lu, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
90,Pai Na YanYi JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4447980-Reviews-Pai_Na_YanYi_JiuBa-Shanghai.html,Gubei / Hongqiao / Minhang,"Hong Jing Lu 288Hao Liao Shen HongQiao GuoJi ZhongXin Nan 6Lou, Shanghai China","Bar, Pub",0,NaN,+86 21 2428 8096,NaN
